"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ACLBSL","2024-01-25","600","656","600","607","1.66 %","2,157.00"
"ADBL","2024-01-25","244.5","247","244.5","245.1","-0.16 %","35,252.00"
"ADBLD83","2024-01-25","985","999","985","999","1.63 %","254.00"
"AHL","2024-01-25","396.2","419.7","396.2","410.1","2.52 %","13,461.00"
"AHPC","2024-01-25","284","284","276.5","278","-0.39 %","166,746.00"
"AKJCL","2024-01-25","228","228","218","222","-0.85 %","77,176.00"
"AKPL","2024-01-25","212.9","213.1","205.9","208","-0.48 %","438,666.00"
"ALBSL","2024-01-25","724","724","695","699","-1.55 %","3,549.00"
"ALICL","2024-01-25","675.1","688","675.1","681.5","-0.37 %","54,007.00"
"ANLB","2024-01-25","1830","1866.6","1795","1832","0.05 %","1,315.00"
"API","2024-01-25","212","212.9","205","209","-0.95 %","435,590.00"
"AVYAN","2024-01-25","630","630","608.1","618","0.00 %","2,224.00"
"BANKING","2024-01-25","1163.65","1167.72","1158.57","1164.51","0.19 %","307,531,540.70"
"BARUN","2024-01-25","244.9","255","244.9","248.9","-0.36 %","52,859.00"
"BBC","2024-01-25","3700","3727","3651","3655","-0.68 %","324.00"
"BEDC","2024-01-25","330","336","317.5","333","2.87 %","31,828.00"
"BFC","2024-01-25","320","325","317.8","323","-0.31 %","15,489.00"
"BGWT","2024-01-25","553","575","552","570","1.24 %","13,339.00"
"BHDC","2024-01-25","440","463","438.3","451","1.30 %","5,954.00"
"BHL","2024-01-25","301","309","298","309","0.65 %","11,165.00"
"BHPL","2024-01-25","446","463.8","446","450","-1.06 %","5,351.00"
"BNHC","2024-01-25","392.7","398","381.2","385","0.00 %","6,826.00"
"BNT","2024-01-25","12210","12247.5","11930","12001","-1.77 %","755.00"
"BOKD86","2024-01-25","826","826","826","826","0.00 %","25.00"
"BPCL","2024-01-25","313.2","322.3","312","313.6","-0.76 %","21,309.00"
"BPW","2024-01-25","1440","1450","1416.2","1416.2","-1.03 %","420.00"
"C30MF","2024-01-25","8.5","8.55","8.45","8.55","0.47 %","1,000.00"
"CBBL","2024-01-25","880","880","865","873","-0.34 %","3,383.00"
"CBLD88","2024-01-25","978","978","978","990","1.23 %","150.00"
"CCBD88","2024-01-25","970.2","970.2","952","952","-3.84 %","100.00"
"CFCL","2024-01-25","336.5","348","336.5","342","0.00 %","9,353.00"
"CGH","2024-01-25","1065","1145","1019.2","1045","0.08 %","47,959.00"
"CHCL","2024-01-25","496","497","490","491","-1.19 %","47,480.00"
